latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.73512,79.39757,328.39,0.55,0.43,2016-03-01,0809,N,VIIRS,l,2,299.96,1.68,D,0
29.7345,79.39199,330.17,0.55,0.43,2016-03-01,0809,N,VIIRS,l,2,303.76,1.14,D,0
29.55746,79.50915,333.67,0.55,0.43,2016-03-01,0809,N,VIIRS,l,2,304.57,4.71,D,0
29.57624,79.71584,349.27,0.57,0.43,2016-03-01,0809,N,VIIRS,n,2,301.74,15.06,D,0
29.6714,79.64323,331.83,0.56,0.43,2016-03-01,0809,N,VIIRS,n,2,306.27,5.14,D,0
29.73139,79.39351,334.08,0.55,0.42,2016-03-01,0809,N,VIIRS,n,2,303.26,3.25,D,0
29.73536,79.39342,329.55,0.55,0.42,2016-03-01,0809,N,VIIRS,l,2,304.17,3.25,D,0
29.2725,79.31023,332.38,0.38,0.36,2016-03-02,0750,N,VIIRS,l,2,302.39,4.19,D,0
29.5393,79.51041,343.46,0.39,0.36,2016-03-02,0750,N,VIIRS,n,2,307.42,15.2,D,0
29.54261,79.50979,354.6,0.39,0.36,2016-03-02,0750,N,VIIRS,n,2,313.6,15.2,D,0
29.56552,79.50568,334.25,0.39,0.36,2016-03-02,0750,N,VIIRS,l,2,305.86,4.44,D,0
29.5694,79.50896,347.49,0.39,0.36,2016-03-02,0750,N,VIIRS,n,2,310.58,13.52,D,0
29.68913,79.4045,333.54,0.38,0.36,2016-03-02,0750,N,VIIRS,n,2,302.29,2.64,D,0
29.69243,79.40388,335.9,0.38,0.36,2016-03-02,0750,N,VIIRS,n,2,300.23,3.53,D,0
29.73634,79.63944,295.87,0.45,0.39,2016-03-02,2014,N,VIIRS,n,2,282.77,1.07,N,0
29.70473,79.42387,296.58,0.46,0.39,2016-03-02,2014,N,VIIRS,n,2,282.39,0.74,N,0
29.55626,79.59232,296.89,0.45,0.39,2016-03-02,2014,N,VIIRS,n,2,281.53,0.47,N,0
29.5274,79.45055,300.06,0.45,0.39,2016-03-02,2014,N,VIIRS,n,2,284.97,1.36,N,0
29.26995,79.37093,298.75,0.45,0.39,2016-03-02,2015,N,VIIRS,n,2,288.42,0.46,N,0
29.48557,79.73315,346.1,0.48,0.4,2016-03-03,0731,N,VIIRS,n,2,301.42,9.42,D,0
